1,2,3,4,5,6,Header_to_be_stripped,,,,,,,,,,,,,,,,,,,,
37749,PROV122808311,1216385911,122420011,Mcmillan,Nanette,null,null,null,null,null,Cleveland,OH,44109,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
37751,PROV122808311,1216385911,122421911,Mcmillan,Nanette,null,null,null,null,null,Cleveland,OH,44109,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
37760,PROV122808311,1216385911,122438811,Mcmillan,Nanette,null,null,null,null,null,Cleveland,OH,44109,null,1222205761,null,null,null,null,null,null,null,null,null,null,null
37761,PROV122808311,1216385911,122439311,Mcmillan,Nanette,null,null,null,null,null,Cleveland,OH,44109,null,1222208011,null,null,null,null,null,null,null,null,null,null,null
37773,PROV122808311,1216385911,122466511,Mcmillan,Nanette,null,null,null,null,null,Cleveland,OH,44109,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37775,PROV122808311,1216385911,122468011,Mcmillan,Nanette,null,null,null,null,null,Cleveland,OH,44109,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
37794,PROV122808361,1216386361,122466511,Leonard,Dwight,101Y00000X,null,null,null,null,Cleveland,OH,44120,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37811,PROV122808461,1216387261,122421911,Dalton,Miranda,101YM0800X,null,null,null,null,Painesville,OH,44077,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
37822,PROV122808461,1216387261,122466511,Dalton,Miranda,101YM0800X,null,null,null,null,Painesville,OH,44077,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37843,PROV122808561,1216388161,122466511,Hernandez,Salvatore,101YP2500X,null,null,null,null,Olmsted Falls,OH,44138,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37850,PROV122808761,1216389961,122466511,Bernal,Tyrone,103G00000X,null,null,null,null,Columbia Station,OH,44028,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37859,PROV122808861,1216390861,122420011,Flowers,Humberto,103T00000X,null,null,null,null,Cleveland,OH,44120,null,1222121161,null,null,null,null,null,null,null,null,null,null,null
37860,PROV122808861,1216390861,122421911,Flowers,Humberto,103T00000X,null,null,null,null,Cleveland,OH,44120,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
37874,PROV122808861,1216390861,122466511,Flowers,Humberto,103T00000X,null,null,null,null,Cleveland,OH,44120,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37888,PROV122809111,1216393111,122466511,Fletcher,Celia,103TC1900X,null,null,null,null,Cleveland,OH,44102,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37916,PROV122809761,1216398961,122466511,Davila,Tommy,104100000X,null,null,null,null,Montville,OH,44064,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37932,PROV122809811,1216399411,122421911,York,Glenn,1041C0700X,null,null,null,null,Amherst,OH,44001,null,1222129711,null,null,null,null,null,null,null,null,null,null,null
37945,PROV122809811,1216399411,122466511,York,Glenn,1041C0700X,null,null,null,null,Amherst,OH,44001,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37985,PROV122810661,1216407061,122466511,Mercado,Nelda,122300000X,null,null,null,null,Euclid,OH,44123,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
37996,PROV122810861,1216408861,122466511,Mcconnell,Gerry,1223G0001X,null,null,null,null,Cleveland,OH,44113,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38006,PROV122810911,1216409311,122468011,Pennington,Earline,1223P0106X,null,null,null,null,Newbury,OH,44065,null,1222337161,null,null,null,null,null,null,null,null,null,null,null
38014,PROV122811061,1216410661,122466511,Dawson,Aidan,1223P0700X,null,null,null,null,Cleveland,OH,44124,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
38021,PROV122811111,1216411111,122466511,Mosley,Wade,1223S0112X,null,null,null,null,Berea,OH,44017,null,1222330411,null,null,null,null,null,null,null,null,null,null,null
